task,kind,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,audit_fallbacks,model_authorized,overrides,model_fits,surrogate_predictions
job_h4,job,guarded_linear,13506.5,1024.0,1024.0,1024.0,1.6308199509166836,998.1666666666666,1.0,0.10811558905498962,0.002081742795348352,0.0017457054623730896,0.8184523809523809,0.0,23.833333333333332,28.0,0.002081742795348352,0.002081742799642738,0.0017457054627453953,0.0,0.0,56.75,15.0,5400.666666666667
job_h4,job,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,1.5645738512499747,997.5,1.0,0.10809155236233464,0.0018719405915162335,0.0016089086074204083,0.8452380952380952,0.0,24.5,28.0,0.0018719405915162335,0.0018719405931758417,0.00160890860732535,0.0,0.0,45.916666666666664,15.0,5446.916666666667
job_h4,job,nsga2_guarded,13506.5,1024.0,1024.0,1024.0,1.4491626904166803,996.25,1.0,0.12674105381406878,0.0031192446109488334,0.002546634848308842,0.8095238095238094,0.0,23.916666666666668,28.0,0.0031192446109488334,0.0031192446127717584,0.0025466348474624,0.0,0.0,76.16666666666667,15.0,5598.666666666667
job_h4,job,nsga2_typed,13506.5,1024.0,1024.0,1024.0,0.5690660978332858,998.75,1.0,0.16300445467697047,0.011644726891404132,0.00745792324748265,0.6875,0.0,23.083333333333332,28.0,0.011644726891404132,0.011644726891824534,0.007457923243760067,0.0,0.0,0.0,0.0,0.0
job_h4,job,random_residual,13506.5,1024.0,1024.0,1024.0,1.1182193514166177,996.6666666666666,1.0,0.13872168249422098,0.009475864869088616,0.005552694160236834,0.7261904761904763,0.0,23.166666666666668,28.0,0.009475864869088616,0.00947586486885765,0.005552694157952817,0.0,0.0,540.6666666666666,0.0,0.0
job_h4,job,raw_linear,13506.5,1024.0,1024.0,1024.0,1.3487417520000424,996.4166666666666,1.0,0.12803288460531723,0.010038813182679926,0.006347410748687359,0.7321428571428572,0.0,23.416666666666668,28.0,0.010038813182679926,0.010038813182477475,0.006347410747414717,0.0,0.0,33.416666666666664,15.0,5364.0
job_h4,job,scalar_linear,13506.5,1024.0,1024.0,1024.0,1.4507061298333308,1003.0,1.0,0.11641142437354501,0.0013885427819262956,0.0012320235453105708,0.8958333333333334,0.0,26.25,28.0,0.0013885427819262956,0.0013885427811382838,0.0012320235452511494,0.0,0.0,555.6666666666666,15.0,5575.666666666667
job_h4,job,unguarded_linear,13506.5,1024.0,1024.0,1024.0,1.5057031884166652,998.1666666666666,1.0,0.10811558905498962,0.002081742795348352,0.0017457054623730896,0.8184523809523809,0.0,23.833333333333332,28.0,0.002081742795348352,0.002081742799642738,0.0017457054627453953,0.0,0.0,56.75,15.0,5400.666666666667
rgv_h1,rgv,fast_v10,13506.5,1024.0,1024.0,1024.0,0.6781621043333151,1002.75,1.0,0.09290042864169844,0.002336972522016208,0.00062993130349245,0.8809523809523809,0.4166666666666667,6.583333333333333,7.0,0.002336972522016208,0.0023369725059018418,0.000629931300341,0.0,0.0,0.0,0.0,0.0
rgv_h1,rgv,guarded_linear,13506.5,1024.0,1024.0,1024.0,1.7478611975833473,1000.4166666666666,1.0,0.0780116903663545,0.003634604056450325,0.0008237046555991167,0.8452380952380952,0.08333333333333333,6.5,7.0,0.003634604056450325,0.003634604036739692,0.0008237046519806251,0.0,0.0,219.33333333333334,15.0,5210.0
rgv_h1,rgv,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,1.692816557249974,1002.75,1.0,0.07879757144535804,0.002076060673844425,0.00049504950714285,0.8690476190476191,0.16666666666666666,6.5,7.0,0.002076060673844425,0.0020760606614140414,0.0004950495049504583,0.0,0.0,196.41666666666666,15.0,5403.833333333333
rgv_h1,rgv,nsga2_guarded,13506.5,1024.0,1024.0,1024.0,1.0711433110000712,1021.4166666666666,1.0,0.1019050066076828,0.00204778819902385,0.0005287690843658583,0.9166666666666666,0.5,6.916666666666667,7.0,0.00204778819902385,0.0020477881902855335,0.0005287690831670083,0.0,0.0,307.0,15.0,6620.083333333333
rgv_h1,rgv,nsga2_typed,13506.5,1024.0,1024.0,1024.0,0.4242332172499535,1016.75,1.0,0.11640206631381246,0.0046376963525265,0.0014933357495082414,0.7738095238095237,0.08333333333333333,6.5,7.0,0.0046376963525265,0.004637696333588533,0.0014933357453589334,0.0,0.0,0.0,0.0,0.0
rgv_h1,rgv,random_residual,13506.5,1024.0,1024.0,1024.0,1.2700872137499648,1003.6666666666666,1.0,0.08954868038168558,0.0024946243122860082,0.0006580760142857,0.8571428571428571,0.25,6.333333333333333,7.0,0.0024946243122860082,0.0024946242985525,0.0006580760116827584,0.0,0.0,521.3333333333334,0.0,0.0
