task,kind,partition,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,audit_fallbacks,model_authorized,overrides,model_fits,surrogate_predictions,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,reference_kind
job_n16,job,stress,fast_v10,13905,2048,2048,2048,0.9930480079999596,2048,True,0,0,0,0,0,0.28056415706757337,0.08855913095865804,0.033787110219694085,0.3384615384615385,False,28,65,0.08855913095865804,0.08855913098305837,0.03378711022929193,pooled_observations_NOT_exact
job_n16,job,stress,fast_v10,13904,2048,2048,2048,0.9924105939999208,2048,True,0,0,0,0,0,0.25895960962759895,0.06786017009353472,0.0322366737425638,0.24615384615384617,False,32,65,0.06706587279788959,0.06786017011945057,0.03223667374871818,pooled_observations_NOT_exact
job_n16,job,stress,no_uncertainty_linear,13904,2048,2048,2048,3.3193783629999416,2048,True,0,0,125,31,13695,0.22492237942989624,0.05496664009945725,0.022664878219598564,0.27692307692307694,False,32,65,0.05212920273640191,0.054966640107511754,0.022664878220302973,pooled_observations_NOT_exact
job_n16,job,stress,fast_v10,13902,2048,2048,2048,0.759700624000061,2048,True,0,0,0,0,0,0.2856107814629671,0.09520643140252219,0.04091608472935624,0.2153846153846154,False,32,65,0.09382722758567166,0.09520643140654134,0.04091608473181977,pooled_observations_NOT_exact
job_n16,job,stress,fast_v10,13906,2048,2048,2048,0.7654376850000517,2048,True,0,0,0,0,0,0.26828257326860233,0.0730549660978508,0.03216079083540412,0.2153846153846154,False,32,65,0.072651202883385,0.07305496610440464,0.03216079083352784,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_typed,13901,2048,2048,2048,0.5854872340000838,2048,True,0,0,0,0,0,0.32577750319953996,0.06462110833023432,0.031012780022064333,0.18461538461538463,False,32,65,0.061533125248242344,0.06462110834013024,0.031012780024941643,pooled_observations_NOT_exact
job_n16,job,stress,fast_v10,13901,2048,2048,2048,0.7752686280000489,2048,True,0,0,0,0,0,0.3331474016237945,0.07824804226771945,0.03397396985029306,0.13846153846153847,False,28,65,0.07824804226771945,0.07824804228876055,0.03397396986245686,pooled_observations_NOT_exact
job_n16,job,stress,no_uncertainty_linear,13901,2048,2048,2048,2.927719983000088,2048,True,0,0,108,31,13507,0.2574175181833669,0.0401607595103723,0.01431561021024342,0.35384615384615387,False,32,65,0.039420799484914115,0.04016075952193266,0.014315610212070992,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_typed,13904,2048,2048,2048,1.1535789680001471,2039,True,0,0,0,0,0,0.2590560063400808,0.0016117037903132594,0.0010228469657142885,0.8,False,28,35,0.0015966437569532761,0.0016117037887581256,0.0009179395833174833,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_guarded,13902,2048,2048,2048,3.1217669560001013,2043,True,0,0,152,31,12506,0.2057935618807409,0.00026294234622957973,0.0006674826942857152,0.8285714285714286,False,29,35,0.00013245667596483517,0.0002629423455760834,0.000599022932269286,pooled_observations_NOT_exact
tour_n12,tour,stress,fast_v10,13906,2048,2048,2048,1.0303700619999745,2045,True,0,0,0,0,0,0.24164509585229876,0.03383029718117885,0.015439714777076128,0.5428571428571428,False,26,35,0.03383029718117885,0.033830297153958036,0.013856154278011883,pooled_observations_NOT_exact
tour_n12,tour,stress,no_uncertainty_linear,13906,2048,2048,2048,3.5828255260000788,2045,True,0,0,66,31,12162,0.16959807950276617,0.0010275857642852342,0.0012288611142857152,0.7714285714285715,False,29,35,0.0009004472995136755,0.0010275857649854115,0.0011028240773304384,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_typed,13903,2048,2048,2048,0.8530427739999595,2045,True,0,0,0,0,0,0.3123862236756581,0.0310805483266404,0.014060688418502896,0.5714285714285714,False,29,35,0.031075872511285595,0.03108054832142014,0.012618566524517292,pooled_observations_NOT_exact
tour_n12,tour,stress,fast_v10,13902,2048,2048,2048,1.1161248270000217,2046,True,0,0,0,0,0,0.23211781794132935,0.02596717694647896,0.011957409538894022,0.7428571428571429,False,29,35,0.02596717694647896,0.025967176954265814,0.010731008564430575,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_typed,13906,2048,2048,2048,1.0222924340000643,2045,True,0,0,0,0,0,0.29579397139369445,0.013992857008635987,0.006779484994478569,0.5714285714285714,False,28,35,0.012255961557834037,0.013992856980737062,0.006084153192355918,pooled_observations_NOT_exact
tour_n12,tour,stress,fast_v10,13903,2048,2048,2048,1.7747987500001727,2044,True,0,0,0,0,0,0.2679134086099134,0.027519226268591563,0.013464021094504125,0.6285714285714286,False,28,35,0.027519226268591563,0.027519226249409105,0.012083095846362905,pooled_observations_NOT_exact
tour_n12,tour,stress,no_uncertainty_linear,13905,2048,2048,2048,4.1159216549999655,2044,True,0,0,68,31,11883,0.18408800796134703,0.0009755320394856354,0.0010622545257142858,0.8,False,29,35,0.00030212513447026634,0.0009755320445225578,0.0009533053462852478,pooled_observations_NOT_exact
tour_n12,tour,stress,no_uncertainty_linear,13904,2048,2048,2048,3.6139822369998456,2045,True,0,0,99,31,12038,0.1966126339110291,0.00805401862064306,0.0042312864514285715,0.8285714285714286,False,29,35,0.00805401862064306,0.008054018618801824,0.0037973083519952443,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_typed,13902,2048,2048,2048,1.3055355290000534,2045,True,0,0,0,0,0,0.28102901203610253,0.0069111981220630475,0.003854261891914991,0.7142857142857143,False,26,35,0.0069111981220630475,0.00691119811118783,0.0034589529742559033,pooled_observations_NOT_exact
tour_n12,tour,stress,fast_v10,13905,2048,2048,2048,1.2029058010000426,2046,True,0,0,0,0,0,0.2434680119002478,0.020970422427206342,0.008912142822857145,0.7428571428571429,False,29,35,0.020970422427206342,0.0209704224108403,0.007998076888741944,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_guarded,13903,2048,2048,2048,3.2117853849999847,2045,True,0,0,179,31,12384,0.23111387978737494,0.0009442335474656663,0.0010805691457142865,0.8,False,29,35,0.00041455324944607037,0.0009442335510318101,0.0009697415422060174,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_typed,13901,2048,2048,2048,1.1809161300000142,2045,True,0,0,0,0,0,0.2830468120674681,0.009752746281166924,0.005767046728571428,0.7142857142857143,False,27,35,0.009752746281166924,0.009752746279805534,0.005175554757317795,pooled_observations_NOT_exact
tour_n12,tour,stress,no_uncertainty_linear,13903,2048,2048,2048,3.5238293769998563,2046,True,0,0,79,31,11923,0.2048738839031186,0.0012092187064585928,0.0008548197685714294,0.8285714285714286,False,29,35,0.0010820802416870341,0.001209218707820372,0.0007671459475003178,pooled_observations_NOT_exact
tour_n12,tour,stress,no_uncertainty_linear,13901,2048,2048,2048,3.3844212480000806,2044,True,0,0,98,31,12052,0.23852253058930337,0.0020396748102775287,0.0015419291040284608,0.7714285714285715,False,29,35,0.001332885588321455,0.002039674816759817,0.001383782529747322,pooled_observations_NOT_exact
tour_n12,tour,stress,fast_v10,13904,2048,2048,2048,1.2234660300000542,2047,True,0,0,0,0,0,0.23017837696629798,0.01073281977680598,0.005123843193473664,0.7428571428571429,False,29,35,0.010717759743445996,0.010732819772598455,0.004598320813912531,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_guarded,13904,2048,2048,2048,3.5062230620001174,2044,True,0,0,136,31,11989,0.2245607773180165,0.0015369477866584904,0.0009141050657142864,0.8285714285714286,False,29,35,0.0015046506359241026,0.0015369477884710227,0.0008203507012738523,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_guarded,13905,2048,2048,2048,3.3650729409998803,2044,True,0,0,163,31,12065,0.20653243064990032,0.00026294234622957973,0.0006674826942857152,0.8285714285714286,False,29,35,0.00013245667596483517,0.0002629423455760834,0.000599022932269286,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_guarded,13906,2048,2048,2048,3.3467538519998925,2046,True,0,0,168,31,12055,0.23779290799116068,0.0007541579167179709,0.0011043835371428593,0.8,False,28,35,0.00013245667596483517,0.0007541579163741921,0.0009911134323632204,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_typed,13905,2048,2048,2048,1.0291167130001213,2047,True,0,0,0,0,0,0.26787910564471956,0.0038043754763694452,0.0016410529142857147,0.8285714285714286,False,29,35,0.0038043754763694452,0.0038043754832175884,0.0014727397972130137,pooled_observations_NOT_exact
tour_n12,tour,stress,fast_v10,13901,2048,2048,2048,1.1269411790001411,2043,True,0,0,0,0,0,0.2952232956167958,0.02985980407351865,0.012805674085145003,0.7714285714285715,False,29,35,0.02985980407351865,0.02985980407458745,0.011492271615781613,pooled_observations_NOT_exact
tour_n12,tour,stress,nsga2_guarded,13901,2048,2048,2048,3.1350729799999044,2044,True,0,0,170,31,12298,0.24021603897087385,0.00026294234622957973,0.0006674826942857152,0.8285714285714286,False,29,35,0.00011242811497580407,0.0002629423455760834,0.000599022932269286,pooled_observations_NOT_exact
tour_n12,tour,stress,no_uncertainty_linear,13902,2048,2048,2048,3.5138146819999747,2046,True,0,0,77,31,12022,0.21300357809802042,0.00805401862064306,0.0042312864514285715,0.8285714285714286,False,29,35,0.00805401862064306,0.008054018618801824,0.0037973083519952443,pooled_observations_NOT_exact
job_n12,job,stress,fast_v10,13903,2048,2048,2048,1.5673752919999515,2045,True,0,0,0,0,0,0.2042317160449422,0.010576935564042789,0.005876853213281235,0.7241379310344828,False,25,29,0.010576935564042789,0.010576935567368332,0.0058768532138344445,pooled_observations_NOT_exact
job_n12,job,stress,no_uncertainty_linear,13903,2048,2048,2048,4.756534384999895,2035,True,0,0,37,31,9323,0.1875465471566734,0.0049148702975202055,0.002304556288052846,0.8275862068965517,False,25,29,0.0049148702975202055,0.004914870290465615,0.002304556283761779,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_typed,13903,2048,2048,2048,1.635250405000079,2036,True,0,0,0,0,0,0.2801862826417499,0.017264270849958317,0.008778568377708016,0.7241379310344828,False,22,29,0.017264270849958317,0.01726427083753435,0.008778568369541568,pooled_observations_NOT_exact
job_n12,job,stress,no_uncertainty_linear,13902,2048,2048,2048,4.497850003000167,2042,True,0,0,42,31,9562,0.13935447778126273,0.012603135375687783,0.005694488215639051,0.7931034482758621,False,24,29,0.012603135375687783,0.012603135365528957,0.005694488209201861,pooled_observations_NOT_exact
job_n12,job,stress,fast_v10,13905,2048,2048,2048,1.5947742049997942,2042,True,0,0,0,0,0,0.22674578086057853,0.008008221301797038,0.0038826367397769798,0.7586206896551724,False,24,29,0.008008221301797038,0.008008221295337676,0.003882636734875446,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_guarded,13901,2048,2048,2048,3.72521393399984,2042,True,0,0,109,31,10808,0.2159046200737654,0.0049148702975202055,0.002304556288052846,0.8275862068965517,False,25,29,0.0049148702975202055,0.004914870290465615,0.002304556283761779,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_typed,13905,2048,2048,2048,1.2964234590001524,2040,True,0,0,0,0,0,0.23438693934288943,0.012223466041322621,0.006648804655984082,0.7586206896551724,False,25,29,0.012223466041322621,0.012223466050232478,0.006648804658970471,pooled_observations_NOT_exact
job_n12,job,stress,no_uncertainty_linear,13904,2048,2048,2048,4.2829095330000655,2037,True,0,0,26,31,9323,0.17180312150585156,0.007204056879034295,0.003966401023626063,0.8275862068965517,False,26,29,0.007204056879034295,0.007204056881540939,0.003966401022480596,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_guarded,13904,2048,2048,2048,4.034733802000119,2039,True,0,0,88,31,10922,0.21633786044584338,0.008282265751194503,0.004136123265517241,0.8275862068965517,False,25,29,0.008282265751194503,0.008282265742189817,0.004136123258688388,pooled_observations_NOT_exact
job_n12,job,stress,fast_v10,13904,2048,2048,2048,1.9101967200001584,2041,True,0,0,0,0,0,0.17158900918718545,0.004926430462354242,0.002340166346673536,0.7931034482758621,False,24,29,0.004926430462354242,0.004926430454727761,0.0023401663407345667,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_typed,13901,2048,2048,2048,1.5189885239999512,2037,True,0,0,0,0,0,0.24987032158461644,0.008728822552768902,0.003975498101845949,0.7586206896551724,False,23,29,0.008728822552768902,0.008728822547365013,0.003975498098954337,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_typed,13902,2048,2048,2048,1.3991854169998987,2041,True,0,0,0,0,0,0.2601797302838733,0.013491034333597598,0.00869983942190463,0.6551724137931034,False,23,29,0.013491034333597598,0.013491034335522826,0.008699839422023072,pooled_observations_NOT_exact
job_n12,job,stress,no_uncertainty_linear,13906,2048,2048,2048,3.976378109000052,2043,True,0,0,81,31,10668,0.19803029448312637,0.011598047305948888,0.004919516344827587,0.8275862068965517,False,24,29,0.011598047305948888,0.011598047298504008,0.004919516339683039,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_typed,13906,2048,2048,2048,1.1807184879999113,2042,True,0,0,0,0,0,0.3020634442869043,0.007449890557141331,0.005576430708742502,0.7241379310344828,False,24,29,0.007449890557141331,0.007449890549714222,0.005576430700361782,pooled_observations_NOT_exact
job_n12,job,stress,no_uncertainty_linear,13905,2048,2048,2048,4.1054108439998345,2040,True,0,0,38,31,9915,0.1727134612320872,0.010215717386998703,0.005397832461557097,0.7586206896551724,False,25,29,0.010215717386998703,0.01021571739078215,0.005397832461511864,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_guarded,13906,2048,2048,2048,4.256468401999882,2034,True,0,0,125,31,10409,0.2624859625327698,0.00998896037104072,0.004730063842304569,0.7586206896551724,False,23,29,0.00998896037104072,0.009988960365328184,0.004730063839004751,pooled_observations_NOT_exact
job_n12,job,stress,fast_v10,13906,2048,2048,2048,1.7308838569999807,2030,True,0,0,0,0,0,0.1963687259606677,0.008744773633979163,0.004823578715639052,0.7931034482758621,False,25,29,0.008744773633979163,0.008744773626134211,0.004823578709607802,pooled_observations_NOT_exact
job_n12,job,stress,fast_v10,13902,2048,2048,2048,1.6219050009999592,2040,True,0,0,0,0,0,0.15910734298530196,0.024608678186869144,0.012358574847124104,0.7241379310344828,False,23,29,0.024608678186869144,0.024608678189946505,0.012358574847460259,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_guarded,13903,2048,2048,2048,4.217864580999958,2035,True,0,0,104,31,10266,0.22711296765096378,0.01641708763093648,0.007365430029432155,0.7241379310344828,False,22,29,0.01641708763093648,0.016417087622428356,0.00736543002439442,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_guarded,13902,2048,2048,2048,4.041682330999947,2038,True,0,0,116,31,11071,0.20525195822412834,0.0006346037710818308,0.0004677392068965519,0.9310344827586207,False,27,29,0.0006346037710818308,0.0006346037771791972,0.000467739209553568,pooled_observations_NOT_exact
job_n12,job,stress,fast_v10,13901,2048,2048,2048,1.9556799739998496,2035,True,0,0,0,0,0,0.17886041931975016,0.008740382717602939,0.0040111081604666384,0.7241379310344828,False,22,29,0.008740382717602939,0.008740382711627026,0.004011108155927125,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_typed,13904,2048,2048,2048,1.1884171810002044,2039,True,0,0,0,0,0,0.29199558835549,0.016916506047123532,0.00920539661067813,0.6551724137931034,False,23,29,0.016916506047123532,0.0169165060477776,0.009205396609805086,pooled_observations_NOT_exact
job_n12,job,stress,nsga2_guarded,13905,2048,2048,2048,3.98962561999997,2039,True,0,0,110,31,10281,0.23191885407351978,0.01261469554052182,0.005730098274259742,0.7586206896551724,False,23,29,0.01261469554052182,0.012614695529791104,0.005730098266174649,pooled_observations_NOT_exact
