task,kind,partition,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,audit_fallbacks,model_authorized,model_fits,surrogate_predictions,stage,overrides
tour_dev,tour,development,nsga2_typed,13101,512,512,512,0.2123106750000261,507,True,0.1589657772715901,0.0146816981018802,0.0067721734029643,0.6785714285714286,False,20.0,28.0,0.0146816981018802,0.014681698093314,0.0067721734021142,0,0,0,0,dev2,0.0
tour_dev,tour,development,residual_trees,13101,512,512,512,2.7986713899999813,510,True,0.1191210364227239,0.0120839197259281,0.0058820668928571,0.75,False,21.0,28.0,0.0120839197259281,0.0120839197304172,0.0058820668954744,0,0,7,2689,dev2,32.0
rgv_g1,rgv,development,residual,13102,512,512,512,1.965638560000002,511,True,0.0800651032651014,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2470,dev2,161.0
rgv_g1,rgv,development,nsga2_typed,13104,512,512,512,0.2199434340000152,510,True,0.1653474453740679,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev2,0.0
rgv_g1,rgv,development,residual_trees,13104,512,512,512,2.0823090179999326,506,True,0.1617944155528969,0.0020245407192492,0.0016088143499999,0.75,False,5.0,4.0,0.0020245407192492,0.0020245407229513,0.001608814352574,0,0,7,2837,dev2,42.0
tour_dev,tour,development,nsga2_typed,13102,512,512,512,0.3507332599999699,506,True,0.2074786069870592,0.0173192634169692,0.0087884269214285,0.5714285714285714,False,18.0,28.0,0.0173192634169692,0.0173192633903788,0.0087884269062725,0,0,0,0,dev2,0.0
tour_dev,tour,development,residual_strict,13104,512,512,512,1.3413209619999409,509,True,0.0971142977072909,0.0002844192662249,0.0005797032892857,0.8928571428571429,False,25.0,28.0,0.0002844192662249,0.0002844192675965,0.0005797032878779,0,0,7,2827,dev2,36.0
rgv_g1,rgv,development,residual_off,13102,512,512,512,0.3533962049999672,509,True,0.0898864753304527,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev2,0.0
job_dev,job,development,residual_no_gate,13101,512,512,512,1.3400929389999874,510,True,0.0768928938769648,0.0023322704319269,0.000703892425,0.90625,False,29.0,32.0,0.0023322704319269,0.0023322704358058,0.0007038924260769,0,0,7,2856,dev2,52.0
rgv_dev,rgv,development,residual_random,13103,512,512,512,1.7415119210000969,508,True,0.0322150085927397,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,0,0,dev2,186.0
tour_dev,tour,development,residual_linear,13103,512,512,512,1.2669200180000644,509,True,0.0928235502486431,0.0030807353513759,0.0012687651094032,0.8214285714285714,False,24.0,28.0,0.0030807353513759,0.0030807353579608,0.0012687651122651,0,0,7,2809,dev2,38.0
rgv_dev,rgv,development,residual_random,13104,512,512,512,1.41969532600001,506,True,0.1001032149236402,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev2,229.0
tour_dev,tour,development,fast_v10,13101,512,512,512,0.275350225000011,506,True,0.1429504990514961,0.0319715192316183,0.0188696472589163,0.5714285714285714,False,22.0,28.0,0.0319715192316183,0.031971519225492,0.0188696472624195,0,0,0,0,dev2,0.0
job_dev,job,development,residual_random,13104,512,512,512,0.8407119150000426,507,True,0.1215319312843792,0.0166731475548261,0.0099848488608326,0.625,False,31.0,32.0,0.0166731475548261,0.0166731475533934,0.0099848488563596,0,0,0,0,dev2,261.0
rgv_dev,rgv,development,residual_scalar,13103,512,512,512,2.9554876559999457,493,True,0.0291861859400717,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1834,dev2,154.0
tour_dev,tour,development,residual_strict,13102,512,512,512,1.3078185820000954,508,True,0.1122719181665196,0.0005755052953022,0.0009976874272603,0.8571428571428571,False,25.0,28.0,0.0005755052953022,0.0005755052982549,0.0009976874297627,0,0,7,2934,dev2,41.0
tour_dev,tour,development,residual_scalar,13102,512,512,512,1.2987433030000377,512,True,0.1381629848508503,0.0073340554555409,0.0032841797214285,0.7857142857142857,False,22.0,28.0,0.0073340554555409,0.0073340554605155,0.0032841797216158,0,0,7,2943,dev2,295.0
rgv_dev,rgv,development,fast_v10,13103,512,512,512,0.6261711170000126,494,True,0.0291861859400717,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,0,0,dev2,0.0
rgv_dev,rgv,development,residual_no_gate,13101,512,512,512,2.5252920240000094,487,True,0.1841821153105498,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1957,dev2,55.0
rgv_dev,rgv,development,residual_no_gate,13104,512,512,512,2.901015076000021,494,True,0.1092743634918188,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,2046,dev2,58.0
rgv_g1,rgv,development,residual_scalar,13102,512,512,512,1.818260204000012,505,True,0.0803783784249477,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2537,dev2,230.0
rgv_dev,rgv,development,nsga2_typed,13103,512,512,512,0.274000720999993,510,True,0.0669758025784501,0.0078955723096997,0.0042372881249999,0.75,False,4.0,4.0,0.0078955723096997,0.0078955723490855,0.0042372881355932,0,0,0,0,dev2,0.0
job_dev,job,development,residual_strict,13101,512,512,512,1.1374421489999804,510,True,0.0768928938769648,0.0023322704319269,0.000703892425,0.90625,False,29.0,32.0,0.0023322704319269,0.0023322704358058,0.0007038924260769,0,0,7,2856,dev2,52.0
rgv_dev,rgv,development,residual,13104,512,512,512,2.677169541000012,494,True,0.1092743634918188,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,2046,dev2,58.0
rgv_dev,rgv,development,residual_linear,13104,512,512,512,1.800197658000002,495,True,0.0960916201128263,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1924,dev2,97.0
rgv_g1,rgv,development,residual_random,13101,512,512,512,0.814804568999989,508,True,0.1023476801229577,0.0020245407192492,0.0016088143499999,0.75,False,5.0,4.0,0.0020245407192492,0.0020245407229513,0.001608814352574,0,0,0,0,dev2,258.0
tour_dev,tour,development,nsga2_typed,13103,512,512,512,0.1991712090000419,511,True,0.1349683547425884,0.0145137573263968,0.0072360436829985,0.5714285714285714,False,20.0,28.0,0.0145137573263968,0.0145137573254484,0.0072360436825484,0,0,0,0,dev2,0.0
rgv_g1,rgv,development,residual_random,13103,512,512,512,0.8215136779999739,509,True,0.0383623055278249,0.0015950926878933,0.0012675507,0.75,False,5.0,4.0,0.0015950926878933,0.0015950926908101,0.0012675507020281,0,0,0,0,dev2,264.0
rgv_g1,rgv,development,residual_no_gate,13101,512,512,512,1.75329264100003,506,True,0.080798101881251,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2422,dev2,151.0
rgv_dev,rgv,development,residual_linear,13103,512,512,512,1.6995070919999762,488,True,0.0291861859400717,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1711,dev2,66.0
tour_dev,tour,development,nsga2_guarded,13102,512,512,512,0.5127337220001209,510,True,0.1665837705725716,0.0001584577024576,0.0005095703249999,0.8928571428571429,False,25.0,28.0,0.0001584577024576,0.0001584577008399,0.000509570321872,0,0,7,2830,dev3,77.0
job_dev,job,development,no_uncertainty_linear,13104,512,512,512,0.5527650740000354,508,True,0.095647331096238,0.0015001181450114,0.000645507171875,0.875,False,28.0,32.0,0.0015001181450114,0.0015001181446119,0.0006455071734568,0,0,7,2744,dev3,43.0
job_dev,job,development,nsga2_guarded,13101,512,512,512,0.5526072560001012,508,True,0.1051251643827619,0.0028998340006602,0.00128898644375,0.90625,False,29.0,32.0,0.0028998340006602,0.0028998340031454,0.001288986444479,0,0,7,2900,dev3,70.0
tour_dev,tour,development,unguarded_linear,13101,512,512,512,0.5710460139998759,508,True,0.1103155435260406,0.0007551293853396,0.0013175280357142,0.8571428571428571,False,25.0,28.0,0.0007551293853396,0.0007551293877104,0.0013175280355984,0,0,7,2868,dev3,48.0
tour_dev,tour,development,random_residual,13104,512,512,512,0.4836919639999451,506,True,0.1290925816841371,0.003211519389225,0.0025014298678571,0.7857142857142857,False,22.0,28.0,0.003211519389225,0.0032115193962855,0.0025014298725257,0,0,0,0,dev3,266.0
tour_dev,tour,development,nsga2_guarded,13104,512,512,512,0.557735171000104,509,True,0.1227625690748068,0.0003221594781332,0.000922721825,0.8571428571428571,False,24.0,28.0,0.0003221594781332,0.0003221594757755,0.0009227218212491,0,0,7,2820,dev3,55.0
tour_dev,tour,development,scalar_linear,13101,512,512,512,0.522738777999848,511,True,0.1146694840019355,0.0120839197259281,0.0058820668928571,0.75,False,21.0,28.0,0.0120839197259281,0.0120839197304172,0.0058820668954744,0,0,7,2872,dev3,289.0
tour_dev,tour,development,guarded_linear,13102,512,512,512,0.5470326300001034,508,True,0.1122719181665196,0.0005755052953022,0.0009976874272603,0.8571428571428571,False,25.0,28.0,0.0005755052953022,0.0005755052982549,0.0009976874297627,0,0,7,2934,dev3,41.0
rgv_dev,rgv,development,fast_v10,13104,512,512,512,0.3891906329999983,498,True,0.1092743634918188,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,0,0,dev3,0.0
job_dev,job,development,random_residual,13104,512,512,512,0.4559887719999551,507,True,0.1215319312843792,0.0166731475548261,0.0099848488608326,0.625,False,31.0,32.0,0.0166731475548261,0.0166731475533934,0.0099848488563596,0,0,0,0,dev3,261.0
tour_dev,tour,development,no_uncertainty_linear,13102,512,512,512,0.5377739049999946,512,True,0.1108844058128829,0.0001225834810906,7.56235000000001e-05,0.9642857142857144,False,27.0,28.0,0.0001225834810906,0.0001225834831468,7.562350119414037e-05,0,0,7,3130,dev3,41.0
job_dev,job,development,random_residual,13101,512,512,512,0.3491646140000739,511,True,0.1076290261452513,0.0068583790216877,0.0042448062475497,0.59375,False,24.0,32.0,0.0068583790216877,0.0068583790046307,0.0042448062364581,0,0,0,0,dev3,295.0
rgv_dev,rgv,development,guarded_linear,13101,512,512,512,0.9290128170000572,494,True,0.1810393912789208,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1988,dev3,91.0
rgv_g1,rgv,development,raw_linear,13104,512,512,512,0.493834291000212,508,True,0.1758241499123334,0.0015950926883786,0.0006337753499999,0.75,False,4.0,4.0,0.0015950926883786,0.0015950926908101,0.000633775351014,0,0,7,2834,dev3,152.0
job_dev,job,development,scalar_linear,13102,512,512,512,0.5513360420000026,511,True,0.0930813474928731,0.0037363409558422,0.0021450157422025,0.84375,False,29.0,32.0,0.0037363409558422,0.0037363409506504,0.0021450157392534,0,0,7,2771,dev3,286.0
job_dev,job,development,random_residual,13102,512,512,512,0.4181885609998517,510,True,0.1010677046318756,0.0060818849395396,0.00352777854375,0.78125,False,25.0,32.0,0.0060818849395396,0.0060818849362319,0.0035277785431948,0,0,0,0,dev3,303.0
rgv_dev,rgv,development,guarded_linear,13103,512,512,512,1.0069341599999009,488,True,0.0291861859400717,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1711,dev3,66.0
tour_dev,tour,development,random_residual,13103,512,512,512,0.4246022610000182,507,True,0.1180967854549739,0.018579105234336,0.0095655740857142,0.6428571428571429,False,19.0,28.0,0.018579105234336,0.0185791052553514,0.0095655740963442,0,0,0,0,dev3,273.0
