task,algorithm,seed,feature_cache_hits,feature_cache_misses,hv_cache_rebuilds,hv_cache_hits,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,mean_pool_size,max_pool_size
rgv_new3,refit32,74501,18441,1889,9,755,0,0,0,4.62041884816754,8.0
job_new1,refit32,74509,18809,1176,19,741,0,0,0,4.190789473684211,8.0
rgv_new1,local24,74502,16453,2819,13,738,68,683,37577,14.157123834886818,25.0
job_new4,fast_h0,74501,10874,1577,43,745,0,0,0,4.836294416243655,8.0
rgv_new4,local24,74509,16230,2961,20,757,97,680,36898,13.579150579150578,25.0
rgv_new1,fast_h0,74504,11180,2352,12,755,0,0,0,6.378096479791395,8.0
tour_new1,h0,74503,0,0,0,0,0,0,0,,
rgv_new2,fast_h0,74512,10354,2130,11,763,0,0,0,4.96640826873385,8.0
tour_new3,fast_h0,74511,10247,1178,29,740,0,0,0,3.6215864759427827,8.0
rgv_new3,refit32,74504,18959,2141,13,777,0,0,0,5.443037974683544,8.0
tour_new4,fast_h0,74504,10875,1491,37,737,0,0,0,4.813953488372093,8.0
job_new1,refit32,74505,18869,1179,23,752,0,0,0,4.190967741935484,8.0
job_new1,h0,74501,0,0,0,0,0,0,0,,
tour_new2,h0,74504,0,0,0,0,0,0,0,,
rgv_new4,h0,74506,0,0,0,0,0,0,0,,
rgv_new1,fast_h0,74506,11372,2224,11,759,0,0,0,6.4363636363636365,8.0
tour_new1,h0,74511,0,0,0,0,0,0,0,,
job_new1,local24,74507,15398,1250,35,725,35,725,25602,10.536842105263158,25.0
tour_new3,refit32,74511,18556,1223,27,723,0,0,0,3.972,8.0
job_new3,local24,74502,17715,1669,43,740,43,740,31794,13.721583652618135,25.0
rgv_new4,h0,74505,0,0,0,0,0,0,0,,
rgv_new3,h0,74508,0,0,0,0,0,0,0,,
tour_new4,h0,74502,0,0,0,0,0,0,0,,
rgv_new1,local24,74504,18156,2160,12,772,50,734,40168,14.892857142857142,25.0
rgv_new2,refit32,74509,18751,1907,16,755,0,0,0,5.003891050583658,8.0
rgv_new2,refit32,74511,18401,2029,12,758,0,0,0,4.714285714285714,8.0
rgv_new3,fast_h0,74501,10325,1906,10,738,0,0,0,4.800802139037433,8.0
job_new3,local24,74511,17305,1711,44,731,45,730,30152,13.388387096774194,25.0
rgv_new2,local24,74508,14101,2337,12,742,61,693,33980,10.342175066312997,25.0
tour_new1,refit32,74511,19652,1619,44,737,0,0,0,5.7247119078105,8.0
rgv_new4,local24,74501,15152,2432,19,750,70,699,32722,11.630689206762028,25.0
job_new4,refit32,74508,18926,1452,36,729,0,0,0,4.677124183006536,8.0
