stage,task,algorithm,seed,fe
confirm,rgv_new3,fast_v10,74509,1024
confirm,job_new4,fast_v10,74504,1024
confirm,job_new3,nsga_local24,74507,1024
confirm,tour_new4,nsga_local24,74511,1024
confirm,rgv_new4,h0,74511,1024
confirm,job_new1,fast_h0,74508,1024
confirm,tour_new4,nsga_local24,74509,1024
confirm,tour_new3,nsga2_typed,74512,1024
confirm,rgv_new4,nsga_local24,74501,1024
confirm,rgv_new1,fast_h0,74501,1024
confirm,rgv_new4,fast_h0,74507,1024
confirm,job_new3,refit32,74504,1024
confirm,job_new2,fast_h0,74507,1024
confirm,tour_new3,local24,74505,1024
confirm,rgv_new1,fast_v10,74504,1024
confirm,job_new3,refit32,74506,1024
confirm,job_new3,local24_random,74502,1024
confirm,tour_new1,fast_v10,74512,1024
confirm,rgv_new2,nsga_local24,74501,1024
confirm,rgv_new3,nsga2_typed,74510,1024
confirm,job_new3,fast_v10,74506,1024
confirm,rgv_new4,fast_v10,74504,1024
confirm,job_new3,local24_random,74508,1024
confirm,tour_new4,fast_h0,74510,1024
confirm,job_new3,h0,74505,1024
confirm,rgv_new4,refit32,74508,1024
confirm,job_new1,refit32,74504,1024
confirm,job_new3,nsga2_typed,74510,1024
confirm,job_new4,local24,74511,1024
confirm,rgv_new2,refit32,74507,1024
confirm,job_new3,local24,74506,1024
confirm,tour_new2,local24,74503,1024
confirm,job_new4,nsga2_typed,74501,1024
confirm,tour_new2,fast_v10,74503,1024
confirm,job_new1,local24_random,74508,1024
confirm,job_new4,h0,74510,1024
confirm,rgv_new3,nsga_local24,74507,1024
confirm,tour_new2,refit32,74508,1024
confirm,job_new3,fast_h0,74507,1024
confirm,tour_new3,local24,74511,1024
confirm,job_new2,h0,74506,1024
confirm,tour_new1,refit32,74506,1024
confirm,rgv_new2,nsga_local24,74512,1024
confirm,rgv_new3,h0,74502,1024
confirm,tour_new2,fast_v10,74509,1024
confirm,rgv_new2,fast_v10,74507,1024
confirm,job_new1,nsga_local24,74503,1024
confirm,job_new2,nsga_local24,74502,1024
confirm,tour_new3,h0,74504,1024
confirm,tour_new2,nsga_local24,74512,1024
confirm,rgv_new4,fast_v10,74511,1024
confirm,job_new3,nsga2_typed,74501,1024
confirm,tour_new1,nsga_local24,74501,1024
confirm,tour_new4,refit32,74510,1024
confirm,rgv_new2,fast_v10,74504,1024
confirm,job_new3,fast_h0,74511,1024
confirm,rgv_new1,refit32,74506,1024
confirm,rgv_new4,local24_random,74505,1024
confirm,rgv_new3,fast_h0,74506,1024
confirm,rgv_new4,local24,74508,1024
confirm,rgv_new3,nsga2_typed,74502,1024
confirm,job_new2,local24,74502,1024
confirm,job_new3,local24_random,74511,1024
confirm,tour_new2,fast_v10,74506,1024
confirm,rgv_new4,local24_random,74501,1024
confirm,job_new2,h0,74509,1024
confirm,rgv_new2,local24,74506,1024
confirm,job_new3,fast_v10,74510,1024
confirm,job_new4,fast_h0,74509,1024
confirm,rgv_new1,fast_h0,74512,1024
confirm,job_new3,fast_h0,74510,1024
confirm,tour_new1,fast_h0,74504,1024
confirm,tour_new1,refit32,74509,1024
confirm,tour_new3,refit32,74501,1024
confirm,job_new2,nsga2_typed,74502,1024
confirm,job_new1,nsga_local24,74507,1024
confirm,tour_new2,fast_h0,74511,1024
confirm,job_new1,nsga2_typed,74510,1024
confirm,rgv_new3,nsga_local24,74504,1024
confirm,job_new3,refit32,74508,1024
confirm,job_new2,fast_h0,74510,1024
confirm,tour_new4,nsga2_typed,74511,1024
confirm,rgv_new4,local24_random,74506,1024
confirm,job_new3,fast_v10,74502,1024
confirm,job_new1,local24_random,74507,1024
confirm,job_new2,h0,74508,1024
confirm,job_new1,fast_h0,74512,1024
confirm,job_new4,fast_h0,74510,1024
confirm,rgv_new1,fast_v10,74506,1024
confirm,rgv_new2,nsga2_typed,74507,1024
confirm,job_new4,fast_h0,74508,1024
confirm,tour_new1,refit32,74512,1024
confirm,tour_new1,nsga_local24,74506,1024
confirm,tour_new1,local24,74508,1024
confirm,tour_new4,nsga_local24,74512,1024
confirm,job_new2,h0,74504,1024
confirm,job_new2,nsga2_typed,74508,1024
confirm,job_new1,fast_v10,74511,1024
confirm,rgv_new4,nsga2_typed,74509,1024
confirm,rgv_new4,fast_h0,74505,1024
confirm,job_new3,nsga2_typed,74507,1024
confirm,tour_new4,local24_random,74507,1024
confirm,job_new4,local24,74510,1024
