task,kind,algorithm,auc,final_gap,igd,recall,seconds,extra_pure_proposals,neighbor_builds,neighbor_filter_checks,predictions,overrides
job_new3,job,fast_h0,0.10055596328474904,0.0062979911344389836,0.0018498189111110835,0.8690476190476191,3.070187771166682,35730.5,0.0,0.0,4937.916666666667,30.166666666666668
job_new3,job,fast_v10,0.11619585480639054,0.01026965166632425,0.0035804288555689,0.7698412698412698,2.33777500466663,0.0,0.0,0.0,0.0,0.0
job_new3,job,h0,0.10055596328474904,0.0062979911344389836,0.0018498189111110835,0.8690476190476191,5.399830782833344,35730.5,0.0,0.0,4937.916666666667,30.166666666666668
job_new3,job,local24,0.1028303484125531,0.005664591299975875,0.002043986931745992,0.8373015873015873,1.867452434500014,0.0,40.5,30546.583333333332,11072.75,35.166666666666664
job_new3,job,local24_random,0.12033097517068454,0.009176463233816058,0.0038606775929812998,0.7698412698412698,0.9630851437500212,0.0,48.0,29096.0,0.0,470.5833333333333
job_new3,job,nsga2_typed,0.14874591219480068,0.011322447210958849,0.004417203235078608,0.7619047619047619,2.200870309000019,0.0,0.0,0.0,0.0,0.0
job_new3,job,nsga_local24,0.11595833214159966,0.006785635002302742,0.0026987696626003,0.8214285714285715,1.5536791047500174,0.0,80.83333333333333,28848.333333333332,11713.916666666666,57.25
job_new3,job,refit32,0.1021791155631666,0.006777329808030097,0.0019926571273808998,0.8650793650793651,3.7983035075833507,36394.75,0.0,0.0,4965.083333333333,32.0
job_new4,job,fast_h0,0.11013529621391116,0.005294021804163875,0.001828053791384192,0.9583333333333334,2.735604621166677,41515.333333333336,0.0,0.0,4483.166666666667,34.75
job_new4,job,fast_v10,0.13633602709841774,0.008994621275920692,0.0033463057483678915,0.9131944444444443,3.3200588440833485,0.0,0.0,0.0,0.0,0.0
job_new4,job,h0,0.11013529621391116,0.005294021804163875,0.001828053791384192,0.9583333333333334,6.436894999083317,41515.333333333336,0.0,0.0,4483.166666666667,34.75
job_new4,job,local24,0.10377835503732082,0.003087910282356167,0.0010983737458333,0.9722222222222222,1.7923012425000309,0.0,36.75,25568.583333333332,8876.833333333334,36.833333333333336
job_new4,job,local24_random,0.13250919660709284,0.006948213718095217,0.0025567554337452836,0.9340277777777778,1.0837502525000293,0.0,47.333333333333336,24549.75,0.0,406.9166666666667
job_new4,job,nsga2_typed,0.14665224639064536,0.01030207351408635,0.004327386377477058,0.8958333333333334,2.2946227599999816,0.0,0.0,0.0,0.0,0.0
job_new4,job,nsga_local24,0.11439297457060259,0.0008029066571421834,0.00031880300104165563,0.9861111111111112,1.557817887500022,0.0,73.66666666666667,25907.083333333332,9900.083333333334,62.0
job_new4,job,refit32,0.1053731724314636,0.0038197259184245083,0.001477296668532325,0.9513888888888888,4.3149895267499785,42118.916666666664,0.0,0.0,4340.583333333333,32.0
rgv_new1,rgv,fast_h0,0.09995072628253787,0.0028479539818689666,0.0008348018243521999,0.9333333333333332,2.747767421833364,26982.25,0.0,0.0,5839.166666666667,130.16666666666666
rgv_new1,rgv,fast_v10,0.10618852028934718,0.0001423976990469,0.00015873015833333334,0.9833333333333334,1.8415136511666788,0.0,0.0,0.0,0.0,0.0
rgv_new1,rgv,h0,0.09995072628253787,0.0028479539818689666,0.0008348018243521999,0.9333333333333332,5.704721514250035,26982.25,0.0,0.0,5839.166666666667,130.16666666666666
rgv_new1,rgv,local24,0.09674872833362029,0.0008543861945141417,0.0003674306144213833,0.9666666666666667,2.0663787254166834,0.0,53.5,38728.083333333336,11963.916666666666,109.5
rgv_new1,rgv,local24_random,0.10047264635604962,0.0007119884954672417,0.00020870045608804998,0.9833333333333334,1.1778846624167159,0.0,47.75,38081.916666666664,0.0,458.0833333333333
rgv_new1,rgv,nsga2_typed,0.14883973925228985,0.002042814771885625,0.0027404791328190336,0.8333333333333334,1.4750533419999765,0.0,0.0,0.0,0.0,0.0
rgv_new1,rgv,nsga_local24,0.12908981062601818,0.005186963092738208,0.0016692484502155,0.8833333333333333,1.697166709416668,0.0,105.58333333333333,39197.416666666664,15743.583333333334,177.58333333333334
rgv_new1,rgv,refit32,0.100222671157582,0.0023390091108692417,0.0008344466258633,0.9500000000000001,3.396472296666682,26543.666666666668,0.0,0.0,5740.75,120.33333333333333
rgv_new2,rgv,fast_h0,0.09393364022248264,0.00030280663938625035,0.00011785388888887499,0.9583333333333334,3.9603681705000042,37634.083333333336,0.0,0.0,4678.75,224.5
rgv_new2,rgv,fast_v10,0.10272904760410256,0.0003444983867680587,0.0001561152902777583,0.9444444444444445,2.48095516383331,0.0,0.0,0.0,0.0,0.0
rgv_new2,rgv,h0,0.09393364022248264,0.00030280663938625035,0.00011785388888887499,0.9583333333333334,6.2493246755833525,37634.083333333336,0.0,0.0,4678.75,224.5
rgv_new2,rgv,local24,0.09184736687117755,0.000453015353099217,0.000157650131944425,0.9444444444444445,1.9365880531666448,0.0,59.333333333333336,33390.083333333336,9135.583333333334,167.5
rgv_new2,rgv,local24_random,0.10174412771729573,0.000305195851346567,0.00015611529166665,0.9444444444444445,1.0091977902499991,0.0,53.833333333333336,33002.583333333336,0.0,396.5833333333333
rgv_new2,rgv,nsga2_typed,0.1295723348352511,0.0017088318806902083,0.0006375120763888417,0.8333333333333334,1.4278366084166692,0.0,0.0,0.0,0.0,0.0
rgv_new2,rgv,nsga_local24,0.11064953130210893,0.007723361244680301,0.010541838456944409,0.7777777777777778,1.4130238565000088,0.0,106.08333333333333,40530.833333333336,15630.666666666666,282.0
rgv_new2,rgv,refit32,0.09252957724603524,0.00030280663938625035,0.00011785388888887499,0.9583333333333334,4.85082649266666,38204.083333333336,0.0,0.0,4702.333333333333,214.5
rgv_new3,rgv,fast_h0,0.10322465228350029,6.717721341973334e-05,0.0004166666666666667,0.9791666666666666,3.6622849025833184,34746.583333333336,0.0,0.0,4967.083333333333,167.0
rgv_new3,rgv,fast_v10,0.11611873426465878,0.001713018944016975,0.00125,0.9375,2.2188434933333383,0.0,0.0,0.0,0.0,0.0
rgv_new3,rgv,h0,0.10322465228350029,6.717721341973334e-05,0.0004166666666666667,0.9791666666666666,5.6680194467500185,34746.583333333336,0.0,0.0,4967.083333333333,167.0
rgv_new3,rgv,local24,0.1035587859021736,6.717721341973334e-05,0.0004166666666666667,0.9791666666666666,2.1011712725833243,0.0,56.666666666666664,36958.583333333336,10028.833333333334,148.33333333333334
rgv_new3,rgv,local24_random,0.1164442516745821,0.0016122531235850748,0.0017129629625,0.9166666666666666,0.8217949348333681,0.0,54.666666666666664,37747.083333333336,0.0,438.9166666666667
rgv_new3,rgv,nsga2_typed,0.15209140189716916,0.002082493617825508,0.0017129629625,0.9166666666666666,1.4465548900833198,0.0,0.0,0.0,0.0,0.0
rgv_new3,rgv,nsga_local24,0.1208610074232111,0.0016122531235850748,0.0016666666666666668,0.9166666666666666,1.9962902352499914,0.0,105.75,42093.083333333336,16040.666666666666,233.75
rgv_new3,rgv,refit32,0.1033768232754108,6.717721341973334e-05,0.0004166666666666667,0.9791666666666666,3.8951636215833125,34515.75,0.0,0.0,4982.583333333333,165.83333333333334
rgv_new4,rgv,fast_h0,0.08359873619989783,0.002008622849086975,0.0004816502535714083,0.9166666666666666,3.519833300000054,36044.833333333336,0.0,0.0,4946.583333333333,223.75
rgv_new4,rgv,fast_v10,0.0937971025592742,0.002992526625184133,0.0006745665835268499,0.8928571428571428,2.3152508475833335,0.0,0.0,0.0,0.0,0.0
rgv_new4,rgv,h0,0.08359873619989783,0.002008622849086975,0.00048165025357140836,0.9166666666666666,5.154523644083365,36044.833333333336,0.0,0.0,4946.583333333333,223.75
rgv_new4,rgv,local24,0.08520097239334863,0.0025899441472975156,0.0006250522999999667,0.8809523809523809,1.9601154220000012,0.0,72.75,34337.916666666664,10114.25,176.58333333333334
rgv_new4,rgv,local24_random,0.09849410341825125,0.004165182068461946,0.001036128585104375,0.8571428571428572,0.8922741670833337,0.0,54.333333333333336,33831.666666666664,0.0,453.3333333333333
