task,kind,algorithm,seed,budget,fe,physical_calls,seconds,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd
job_stress16,job,fast_v10,74702,2048,2048,2048,2.241704561000006,0,0,0,0,0,0,0,2048,0.3296828250631747,0.03606218180614673,0.017189674283951625,0.30952380952380953,False,32,42,0.03546916059588054,0.03606218177929343,0.017189674277554075
job_stress16,job,nsga2_typed,74702,2048,2048,2048,1.2736226179999903,0,0,0,0,0,0,0,2048,0.4623099016894671,0.054023249998858935,0.017138286393758435,0.35714285714285715,False,30,42,0.054023249998858935,0.05402324998559357,0.01713828638824319
job_stress16,job,fast_h0,74701,2048,2048,2048,8.484130520000008,134,47510,0,0,0,31,12879,2048,0.2725977660378202,0.04399016271026565,0.01362142650190453,0.5714285714285714,False,31,42,0.04399016271026565,0.043990162700963106,0.013621426496139394
job_stress16,job,nsga2_typed,74701,2048,2048,2048,2.183961441000065,0,0,0,0,0,0,0,2048,0.3814147140956426,0.0581650743925685,0.021898825109567685,0.40476190476190477,False,32,42,0.0581650743925685,0.05816507437498343,0.021898825100625404
job_stress16,job,local24,74703,2048,2048,2048,7.485687356000199,156,0,99,1514,147781,31,38417,2048,0.21362774504797197,0.008521508153077163,0.005033249430668955,0.6428571428571429,False,32,42,0.00780653841743666,0.008521508158637022,0.005033249434049929
job_stress16,job,fast_v10,74701,2048,2048,2048,2.762661103000028,0,0,0,0,0,0,0,2048,0.281042006247225,0.0301126917011737,0.010428608369102038,0.47619047619047616,False,30,42,0.0301126917011737,0.030112691707583416,0.010428608368312433
job_stress16,job,fast_v10,74703,2048,2048,2048,3.7217097590000776,0,0,0,0,0,0,0,2048,0.2870441424578925,0.04809644368778372,0.015591008463282464,0.5476190476190477,False,32,42,0.04809644368778372,0.048096443677552725,0.015591008452344526
job_stress16,job,h0,74701,2048,2048,2048,14.426145212999929,134,47510,0,0,0,31,12879,2048,0.2725977660378202,0.04399016271026565,0.01362142650190453,0.5714285714285714,False,31,42,0.04399016271026565,0.043990162700963106,0.013621426496139394
job_stress16,job,h0,74703,2048,2048,2048,11.60838396600002,137,39714,0,0,0,31,13721,2048,0.22841407744098915,0.013561831534203917,0.004528182439735009,0.6666666666666666,False,32,42,0.009503160763751885,0.013561831536223347,0.004528182448404505
job_stress16,job,fast_h0,74702,2048,2048,2048,8.879534391999869,127,39756,0,0,0,31,13264,2048,0.30267821297442693,0.02894952536442595,0.010196063369798601,0.5,False,32,42,0.028836337296087144,0.028949525358992867,0.010196063366681149
tour_stress12,tour,local24,74701,2048,2048,2048,9.321765309000057,96,0,62,1531,149982,31,35015,2047,0.14470450359144305,0.0,0.0,1.0,True,29,29,0.0,0.0,6.938893903907228e-18
tour_stress12,tour,fast_v10,74703,2048,2048,2048,4.1591962089999015,0,0,0,0,0,0,0,2048,0.3094885960067761,0.02066711170716863,0.006101198061200072,0.7586206896551724,False,25,29,0.02066711170716863,0.02066711170550433,0.005529210742954099
tour_stress12,tour,fast_h0,74701,2048,2048,2048,10.565650474999984,80,37555,0,0,0,31,13290,2048,0.15059033188703821,0.0,0.0,1.0,True,29,29,0.0,0.0,6.938893903907228e-18
tour_stress12,tour,fast_v10,74702,2048,2048,2048,2.8942884950001826,0,0,0,0,0,0,0,2048,0.2168630595828195,0.009229375488039917,0.002456722989655173,0.8620689655172413,False,28,29,0.009229375488039917,0.009229375473274576,0.0022264052076672435
tour_stress12,tour,nsga2_typed,74701,2048,2048,2048,2.215452640000194,0,0,0,0,0,0,0,2045,0.28279659530599077,0.02494333847920716,0.009092477341279544,0.6551724137931034,False,29,29,0.02494333847920716,0.024943338475795933,0.008240057588623203
tour_stress12,tour,local24,74703,2048,2048,2048,7.380177718999903,102,0,81,1509,145766,31,35255,2047,0.20029327970599609,0.0,0.0,1.0,True,29,29,0.0,0.0,6.938893903907228e-18
tour_stress12,tour,h0,74703,2048,2048,2048,11.485224055000115,91,45258,0,0,0,31,12608,2048,0.23988615201211802,3.475470269115918e-07,3.815813793104667e-06,0.9655172413793104,False,28,29,3.475470269115918e-07,3.475471126011905e-07,3.458082149732783e-06
tour_stress12,tour,fast_h0,74703,2048,2048,2048,6.424916567999844,91,45258,0,0,0,31,12608,2048,0.23988615201211802,3.475470269115918e-07,3.815813793104667e-06,0.9655172413793104,False,28,29,3.475470269115918e-07,3.475471126011905e-07,3.458082149732783e-06
tour_stress12,tour,h0,74702,2048,2048,2048,11.118339990000097,90,45029,0,0,0,31,12868,2047,0.19704132966761875,0.010548761549165236,0.0023328896206896545,0.8620689655172413,False,26,29,0.010548761549165236,0.010548761533693754,0.0021141812166474362
tour_stress12,tour,fast_v10,74701,2048,2048,2048,3.488249327000176,0,0,0,0,0,0,0,2048,0.24061856080770525,0.032590081895899625,0.011510452691740796,0.6551724137931034,False,26,29,0.032590081895899625,0.03259008188172717,0.010431347750806298
tour_stress12,tour,fast_h0,74702,2048,2048,2048,9.405852172000095,90,45029,0,0,0,31,12868,2047,0.19704132966761875,0.010548761549165236,0.0023328896206896545,0.8620689655172413,False,26,29,0.010548761549165236,0.010548761533693754,0.0021141812166474362
tour_stress12,tour,nsga2_typed,74702,2048,2048,2048,2.3077112870000747,0,0,0,0,0,0,0,2048,0.28730585910724754,0.057731867145215894,0.018641776701493595,0.4827586206896552,False,21,29,0.057731867145215894,0.05773186712189694,0.01689411011987735
tour_stress12,tour,local24,74702,2048,2048,2048,6.840294628000038,134,0,76,1487,147162,31,36461,2048,0.1704756866050883,0.0,0.0,1.0,True,29,29,0.0,0.0,6.938893903907228e-18
tour_stress12,tour,nsga2_typed,74703,2048,2048,2048,2.429618749999918,0,0,0,0,0,0,0,2046,0.30857864625346315,0.03975553949604729,0.016964335251770477,0.5862068965517241,False,26,29,0.03975553949604729,0.03975553949192659,0.015373928819092032
tour_stress12,tour,h0,74701,2048,2048,2048,13.282360317999974,80,37555,0,0,0,31,13290,2048,0.15059033188703821,0.0,0.0,1.0,True,29,29,0.0,0.0,6.938893903907228e-18
tour_stress16,tour,fast_v10,74701,2048,2048,2048,2.692011076999961,0,0,0,0,0,0,0,2048,0.328511971046781,0.13631556961673427,0.07024316447860629,0.3018867924528302,False,32,53,0.1357732248164817,0.13631556963316957,0.06894236514796391
tour_stress16,tour,h0,74702,2048,2048,2048,16.12865499999998,238,31063,0,0,0,31,13928,2048,0.2952054774771989,0.09419267508686353,0.042707000249678155,0.018867924528301886,False,32,53,0.09348680470883684,0.09419267509247596,0.04269814978359638
tour_stress16,tour,nsga2_typed,74701,2048,2048,2048,2.0016701170000037,0,0,0,0,0,0,0,2048,0.34386393438507223,0.037347043036215215,0.01920709416153858,0.32075471698113206,False,32,53,0.03721582494575686,0.03734704304327256,0.01885949767367261
tour_stress16,tour,fast_v10,74702,2048,2048,2048,4.865166861000034,0,0,0,0,0,0,0,2048,0.3104407366265706,0.10871942148499997,0.04886766478891212,0.018867924528301886,False,32,53,0.10825696378541502,0.10871942148978343,0.04874472794132997
tour_stress16,tour,h0,74701,2048,2048,2048,12.369136365000031,180,39197,0,0,0,31,13452,2048,0.26045832937670493,0.01245055871503259,0.00521319614158373,0.5094339622641509,False,32,53,0.012280471788666805,0.012450558720258206,0.005124745913536521
tour_stress16,tour,fast_h0,74703,2048,2048,2048,9.657425461999992,141,35670,0,0,0,31,13562,2048,0.2726644794207138,0.024626582365499913,0.011298746750068108,0.4528301886792453,False,32,53,0.024522062706005113,0.024626582363835425,0.011097601141506866
tour_stress16,tour,nsga2_typed,74703,2048,2048,2048,2.099112600000126,0,0,0,0,0,0,0,2048,0.42033566797229255,0.04336664281050064,0.018500178716884117,0.39622641509433965,False,31,53,0.04336664281050064,0.04336664282459923,0.018157582822703723
tour_stress16,tour,fast_h0,74702,2048,2048,2048,10.09520379499986,238,31063,0,0,0,31,13928,2048,0.2952054774771989,0.09419267508686353,0.042707000249678155,0.018867924528301886,False,32,53,0.09348680470883684,0.09419267509247596,0.04269814978359638
tour_stress16,tour,local24,74701,2048,2048,2048,10.636465594000128,244,0,187,1367,165960,31,37593,2048,0.2417490018895515,0.005176289603865397,0.004523887441509436,0.5471698113207547,False,32,53,0.0021731813099787234,0.005176289607478922,0.004440111753150534
tour_stress16,tour,local24,74702,2048,2048,2048,6.556238748999931,167,0,102,1511,179903,31,39738,2048,0.22705754197474368,0.009803749857812287,0.005250333861835402,0.49056603773584906,False,32,53,0.0074709089476209965,0.009803749864906038,0.005161195896390115
tour_stress16,tour,nsga2_typed,74702,2048,2048,2048,1.5692296990000614,0,0,0,0,0,0,0,2048,0.3727172165199479,0.02329999462679552,0.014037889165620763,0.32075471698113206,False,32,53,0.02245316070104476,0.023299994624235883,0.0137860186886162
tour_stress16,tour,local24,74703,2048,2048,2048,8.572536227,221,0,156,1420,191882,31,39088,2048,0.2678596848833898,0.00893722698161744,0.0039450216980647795,0.5283018867924528,False,32,53,0.008732332376358289,0.008937226996284945,0.0038800561861551596
tour_stress16,tour,h0,74703,2048,2048,2048,9.593096615999912,141,35670,0,0,0,31,13562,2048,0.2726644794207138,0.024626582365499913,0.011298746750068108,0.4528301886792453,False,32,53,0.024522062706005113,0.024626582363835425,0.011097601141506866
tour_stress16,tour,fast_v10,74703,2048,2048,2048,1.8823282790001483,0,0,0,0,0,0,0,2048,0.3343861728390612,0.05779419225421852,0.028823094199293072,0.37735849056603776,False,31,53,0.05779419225421852,0.05779419224708999,0.028297423629841015
tour_stress16,tour,fast_h0,74701,2048,2048,2048,8.951700065000068,180,39197,0,0,0,31,13452,2048,0.26045832937670493,0.01245055871503259,0.00521319614158373,0.5094339622641509,False,32,53,0.012280471788666805,0.012450558720258206,0.005124745913536521
