task,kind,algorithm,seed,budget,fe,physical_calls,seconds,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated
tour_new2,tour,nsga_local24,74505,1024,1024,1024,1.9409249729999374,0.10214552689741122,0.0,0.0,1.0,True,17,17,0.0,0.0,0.0,50,0,69,696,30546,15,11098,989
job_new4,job,local24_random,74503,1024,1024,1024,1.7381267500002195,0.15185096955165658,0.009153871688379531,0.003295121237499998,0.9166666666666666,False,23,24,0.009153871688379531,0.009153871687999408,0.003163316388864938,484,0,52,694,25463,0,0,973
job_new4,job,refit32,74505,1024,1024,1024,6.379501567000034,0.14871645839362205,0.00026922066809726244,0.0004387950208333315,0.9583333333333334,False,23,24,0.00026922066809726244,0.0002692206695362354,0.0004212432215436879,42,42619,0,0,0,30,4392,953
rgv_new2,rgv,refit32,74506,1024,1024,1024,6.137533613999949,0.09576261153794678,0.0018025045645556387,0.00047755491666665967,0.8333333333333334,False,5,6,0.0018025045645556387,0.0018025045726244961,0.00047755491881566287,211,37280,0,0,0,30,4700,975
rgv_new2,rgv,refit32,74501,1024,1024,1024,5.517969368999957,0.05814809321743677,0.0,0.0,1.0,True,6,6,0.0,0.0,0.0,200,40401,0,0,0,30,4696,977
job_new2,job,local24,74509,1024,1024,1024,2.9379847029999837,0.11086885908913646,0.0003505991011946168,0.000102376675,0.9642857142857143,False,27,28,0.0003505991011946168,0.0003505990965921967,0.00010237667365565212,45,0,52,728,30758,15,12311,992
job_new2,job,nsga2_typed,74503,1024,1024,1024,3.9186822160002066,0.13357251032774056,0.005901662836110503,0.004215933933998149,0.7857142857142857,False,23,28,0.005901662836110503,0.005901662847079235,0.0042159339428747096,0,0,0,0,0,0,0,975
job_new2,job,h0,74511,1024,1024,1024,6.225707284999999,0.14260842508747862,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,49,30954,0,0,0,15,5102,1004
tour_new1,tour,refit32,74507,1024,1024,1024,3.597387972999968,0.07876283058504699,0.00035889448876713,0.00022346543571428564,0.9642857142857143,False,27,28,0.00035889448876713,0.00035889448911453437,0.00022346543629873878,37,32167,0,0,0,30,5361,993
rgv_new2,rgv,nsga2_typed,74503,1024,1024,1024,2.029066219000015,0.14580894532596428,0.0005003009685817641,0.0004591368166666667,0.8333333333333334,False,6,6,0.0005003009685817641,0.0005003009752577984,0.0004591368227731864,0,0,0,0,0,0,0,1019
tour_new3,tour,local24,74502,1024,1024,1024,3.360601407000104,0.09940884343207071,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,24,0,26,744,28513,15,8044,951
job_new2,job,nsga_local24,74504,1024,1024,1024,2.3581823409999743,0.11911241568920025,0.0003505991011946168,0.000102376675,0.9642857142857143,False,27,28,0.0003505991011946168,0.0003505990965921967,0.00010237667365565212,80,0,93,670,29651,15,12468,998
job_new1,job,nsga2_typed,74512,1024,1024,1024,3.219319748000089,0.14252206094002043,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,971
rgv_new3,rgv,local24_random,74511,1024,1024,1024,1.0116283800000474,0.11103341919851362,0.0008061265610368792,0.0050000000000000044,0.75,False,5,4,0.0008061265610368792,0.0008061265618702589,0.0050000000000000044,521,0,68,683,39509,0,0,1007
rgv_new4,rgv,fast_v10,74505,1024,1024,1024,2.738094730000057,0.0942394156283689,0.0115965754088496,0.0026019864857143027,0.42857142857142855,False,5,7,0.0115965754088496,0.011596575407038626,0.002601986484764856,0,0,0,0,0,0,0,1005
tour_new4,tour,local24,74505,1024,1024,1024,2.694986034999829,0.08225662492594091,0.0,0.0,1.0,True,31,31,0.0,0.0,0.0,46,0,47,699,28810,15,10718,992
job_new4,job,h0,74505,1024,1024,1024,7.409333756000024,0.15846347345147177,0.008994510178971337,0.0028563262166666666,0.9583333333333334,False,23,24,0.008994510178971337,0.008994510176683308,0.00274207316732125,62,38913,0,0,0,15,4728,968
rgv_new2,rgv,h0,74512,1024,1024,1024,5.800627958999939,0.017610737688523986,2.867054352380394e-05,0.0004591368333333364,0.8333333333333334,False,6,6,2.867054352380394e-05,2.8670542994593186e-05,0.00045913682277319107,223,37728,0,0,0,15,4804,984
rgv_new3,rgv,nsga_local24,74511,1024,1024,1024,2.5219793310000114,0.12284843068859257,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,253,0,111,658,38638,15,14924,1019
rgv_new2,rgv,local24_random,74502,1024,1024,1024,1.8982310950000283,0.09953046939246628,0.0,0.0,1.0,True,6,6,0.0,0.0,0.0,388,0,43,722,32660,0,0,998
job_new2,job,h0,74502,1024,1024,1024,6.217592076999836,0.12559059685057955,0.0003505991011946168,0.000102376675,0.9642857142857143,False,27,28,0.0003505991011946168,0.0003505990965921967,0.00010237667365565212,32,32427,0,0,0,15,5470,999
tour_new4,tour,refit32,74502,1024,1024,1024,6.548299554000096,0.06122847185255829,0.00016655767076836952,5.4005464516129035e-05,0.967741935483871,False,30,31,0.00016655767076836952,0.0001665576713261272,5.40054646966535e-05,34,39141,0,0,0,30,4776,993
tour_new1,tour,fast_v10,74508,1024,1024,1024,2.2417450989998997,0.0916572030441268,0.00035889448876713,0.00022346543571428564,0.9642857142857143,False,27,28,0.00035889448876713,0.00035889448911453437,0.00022346543629873878,0,0,0,0,0,0,0,999
tour_new3,tour,refit32,74506,1024,1024,1024,6.965218161999928,0.10729470119675,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,20,45604,0,0,0,30,4008,947
job_new4,job,local24_random,74506,1024,1024,1024,1.1471693920000234,0.11460582527891461,0.008994510178971337,0.0028563262166666666,0.9583333333333334,False,23,24,0.008994510178971337,0.008994510176683308,0.00274207316732125,417,0,52,739,25000,0,0,958
tour_new1,tour,local24_random,74511,1024,1024,1024,1.1900020909999967,0.07813814341773771,0.0029046416000776763,0.0012520720678571432,0.9285714285714286,False,27,28,0.0029046416000776763,0.002904641596808805,0.001252072067606141,418,0,46,710,25946,0,0,984
tour_new3,tour,fast_v10,74512,1024,1024,1024,3.59468290399991,0.09482490469868178,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,0,0,0,0,0,0,0,951
tour_new4,tour,refit32,74504,1024,1024,1024,6.251228230999914,0.046761333226919624,0.00011498821793616224,0.00015264218064516127,0.967741935483871,False,31,31,0.00011498821793616224,0.000114988218422455,0.0001526421810294239,42,43708,0,0,0,30,4177,977
job_new2,job,refit32,74508,1024,1024,1024,6.407662679000168,0.0909784758023077,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,33,35807,0,0,0,30,5237,989
tour_new3,tour,local24_random,74504,1024,1024,1024,1.0257489880000321,0.08930431634539111,0.0007837402161700197,0.0006363946315789473,0.9473684210526315,False,19,19,0.0007837402161700197,0.0007837402179546175,0.0006363946304566791,379,0,32,729,27231,0,0,956
job_new2,job,local24,74512,1024,1024,1024,3.197045956000011,0.11578461536656004,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,45,0,45,734,30440,15,11468,995
job_new3,job,local24_random,74505,1024,1024,1024,1.646491019999985,0.09708187517427055,0.008594399563645749,0.003136858238095237,0.8095238095238095,False,20,21,0.008594399563645749,0.008594399541184199,0.0031368582322592897,433,0,44,727,29627,0,0,991
tour_new3,tour,fast_v10,74501,1024,1024,1024,2.8258680220001224,0.1113751442132537,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,0,0,0,0,0,0,0,964
job_new1,job,nsga2_typed,74504,1024,1024,1024,3.079984091000142,0.1706339347286175,0.00036057062058443833,0.0003393190149999996,0.95,False,20,20,0.00036057062058443833,0.0003605706224419738,0.00033931901550994444,0,0,0,0,0,0,0,977
rgv_new3,rgv,h0,74509,1024,1024,1024,7.333589126000106,0.134849201754159,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,164,34877,0,0,0,15,5127,996
rgv_new2,rgv,refit32,74502,1024,1024,1024,5.3294956960000945,0.11608954038195221,0.0,0.0,1.0,True,6,6,0.0,0.0,0.0,248,33927,0,0,0,30,5033,1004
job_new4,job,nsga2_typed,74507,1024,1024,1024,2.9067414060000374,0.16441908586350057,0.015956342186981838,0.005501398266666669,0.9166666666666666,False,23,24,0.015956342186981838,0.015956342185447447,0.005281342335730064,0,0,0,0,0,0,0,971
job_new2,job,fast_h0,74506,1024,1024,1024,3.8054259139998976,0.12649069648566885,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,47,32234,0,0,0,15,5319,1000
job_new4,job,refit32,74506,1024,1024,1024,7.309031829999867,0.0937477243067217,0.0,0.0,1.0,True,24,24,0.0,0.0,0.0,28,43197,0,0,0,30,4192,965
job_new1,job,nsga_local24,74501,1024,1024,1024,3.059326320000082,0.113029846844624,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,49,0,64,682,23002,15,8941,960
rgv_new1,rgv,refit32,74512,1024,1024,1024,5.238729673999842,0.056214230260785314,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,115,27609,0,0,0,30,5770,1017
tour_new3,tour,fast_h0,74510,1024,1024,1024,5.959813157000099,0.09800585504973033,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,24,47934,0,0,0,15,3760,939
job_new3,job,h0,74509,1024,1024,1024,6.609622050000098,0.07578100334696787,0.0005003530890119581,0.00039987968095237897,0.9523809523809523,False,20,21,0.0005003530890119581,0.0005003530843588904,0.0003998796774941928,29,32626,0,0,0,15,5020,992
tour_new3,tour,nsga2_typed,74504,1024,1024,1024,3.2934197469999162,0.1487924132775479,0.0014859455010348358,0.0006363946315789473,0.9473684210526315,False,18,19,0.0014859455010348358,0.0014859454983664263,0.0006363946304566791,0,0,0,0,0,0,0,952
job_new3,job,local24,74512,1024,1024,1024,3.296417152999993,0.06805126634504224,0.002331634068113622,0.0018932022047619037,0.7619047619047619,False,17,21,0.002331634068113622,0.00233163406760655,0.0018932022012368344,28,0,41,739,31256,15,11623,1002
job_new1,job,h0,74510,1024,1024,1024,6.728314210999997,0.12842297898564092,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,19,42672,0,0,0,15,4109,960
